order_id,restaurant_id,customer_id,order_date,order_value,delivery_time_mins,order_status,quantity
1,32876,15443,2025-05-21,719,53,Delivered,4
5,42789,1402,2024-07-11,271,30,Delivered,3
8,24570,3371,2025-08-10,585,27,Delivered,3
12,12024,2612,2024-04-18,1383,20,Delivered,2
13,50578,6045,2024-10-30,280,55,Delivered,1
14,40117,19122,2023-02-19,1321,30,Delayed,4
16,34267,8816,2023-10-08,1185,29,Delivered,1
18,45036,13960,2023-11-27,1398,62,Delivered,3
20,22126,5992,2023-08-24,356,26,Delivered,1
22,43169,10980,2024-04-03,244,56,Delivered,4
23,38140,19888,2024-11-10,1275,31,Cancelled,2
25,33446,13703,2025-03-24,1163,32,Delivered,1
26,43522,10085,2025-05-21,652,25,Delivered,1
27,36723,18287,2023-08-28,659,35,Delivered,1
29,48017,19322,2023-10-11,391,55,Delivered,4
30,27680,19954,2023-05-01,932,33,Cancelled,2
31,49368,14140,2025-07-18,802,34,Delivered,4
32,18717,15729,2024-10-13,653,29,Delayed,2
34,35952,10192,2025-09-11,830,43,Delivered,3
35,44557,15258,2023-09-16,770,23,Delivered,2
37,31603,12180,2023-03-22,882,56,Delivered,4
38,51173,3630,2025-01-19,923,44,Cancelled,2
39,6132,12511,2024-11-28,322,46,Delayed,3
41,25240,14488,2023-04-10,376,50,Delivered,1
44,46651,15867,2024-06-24,1103,68,Delivered,4
55,17292,11756,2025-02-12,763,25,Delivered,4
56,9475,19093,2024-11-15,168,65,Delivered,4
57,12901,18342,2023-09-22,1111,63,Delivered,2
61,56071,4450,2023-12-13,1369,24,Delivered,3
62,9934,12410,2024-06-19,1322,61,Delayed,2
63,1658,8147,2024-10-13,877,31,Cancelled,2
66,37707,14791,2023-02-03,870,63,Delivered,1
68,5287,19956,2024-05-16,975,58,Delivered,4
72,23502,13206,2023-02-01,822,53,Delivered,1
77,54737,17375,2024-01-31,912,31,Delivered,1
78,25965,11489,2024-12-17,464,59,Delivered,3
80,7386,3506,2024-03-21,433,52,Delivered,1
86,36094,10081,2024-01-02,818,69,Delivered,1
88,10897,9286,2025-05-12,1137,24,Delivered,1
89,33388,18239,2023-08-26,724,62,Delivered,3
92,24382,4423,2025-02-09,1225,42,Delayed,3
95,47495,8893,2023-03-08,934,45,Delivered,2
97,12163,4031,2023-01-15,1026,27,Delayed,2
103,37150,12930,2024-01-31,784,60,Delivered,2
106,38169,25,2023-05-06,327,52,Delivered,4
