customer_id,customer_name,city,signup_date,customer_type
1,Customer_1,Residency Road,2023-02-10,Returning
2,Customer_2,Koramangala 7th Block,2023-04-18,Returning
3,Customer_3,Electronic City,2022-11-29,New
4,Customer_4,BTM,2023-03-11,Returning
5,Customer_5,Koramangala 8th Block,2023-02-22,New
6,Customer_6,Koramangala 4th Block,2023-07-20,New
7,Customer_7,Malleshwaram,2023-10-13,New
8,Customer_8,BTM,2022-03-28,New
9,Customer_9,Koramangala 4th Block,2023-04-25,New
10,Customer_10,Banashankari,2022-06-16,New
11,Customer_11,Koramangala 5th Block,2023-12-16,Returning
12,Customer_12,Brigade Road,2022-02-27,Premium
13,Customer_13,MG Road,2023-01-19,New
14,Customer_14,Bellandur,2023-07-24,Returning
15,Customer_15,BTM,2022-12-10,New
16,Customer_16,New BEL Road,2022-03-12,New
17,Customer_17,Marathahalli,2022-12-23,Returning
18,Customer_18,Kammanahalli,2023-12-08,New
19,Customer_19,Koramangala 4th Block,2023-08-28,New
20,Customer_20,Race Course Road,2023-07-28,New
21,Customer_21,Koramangala 4th Block,2023-09-13,New
22,Customer_22,JP Nagar,2022-03-18,Returning
23,Customer_23,BTM,2023-05-01,New
24,Customer_24,Lavelle Road,2023-08-31,Returning
25,Customer_25,Basavanagudi,2022-02-28,New
27,Customer_27,Whitefield,2022-12-24,Premium
28,Customer_28,Electronic City,2022-08-03,Returning
29,Customer_29,Shanti Nagar,2023-02-04,Returning
30,Customer_30,HSR,2022-04-04,New
31,Customer_31,Bellandur,2022-08-18,Returning
32,Customer_32,Kammanahalli,2023-11-17,Returning
33,Customer_33,HSR,2023-11-05,New
34,Customer_34,Whitefield,2023-06-06,Premium
35,Customer_35,Whitefield,2022-01-19,New
36,Customer_36,Electronic City,2022-10-22,Returning
37,Customer_37,Brigade Road,2022-11-14,Premium
38,Customer_38,Ejipura,2022-12-14,New
39,Customer_39,Koramangala 2nd Block,2022-02-20,Premium
40,Customer_40,Marathahalli,2022-10-21,New
41,Customer_41,JP Nagar,2022-07-28,New
42,Customer_42,HSR,2022-02-10,New
43,Customer_43,Koramangala 5th Block,2023-09-13,New
45,Customer_45,BTM,2022-08-09,Returning
46,Customer_46,Jeevan Bhima Nagar,2022-06-29,New
47,Customer_47,Commercial Street,2022-11-30,Returning
48,Customer_48,MG Road,2022-07-12,New
49,Customer_49,Koramangala 6th Block,2023-05-30,New
50,Customer_50,Kalyan Nagar,2023-08-29,New
51,Customer_51,Indiranagar,2023-07-20,Returning
52,Customer_52,Koramangala 4th Block,2023-04-17,New
53,Customer_53,Koramangala 1st Block,2022-11-28,New
54,Customer_54,Koramangala 6th Block,2023-09-09,New
55,Customer_55,Ulsoor,2023-08-01,Premium
56,Customer_56,Marathahalli,2022-07-13,Returning
57,Customer_57,Seshadripuram,2022-02-28,New
58,Customer_58,Bannerghatta Road,2022-09-19,Returning
59,Customer_59,Seshadripuram,2022-09-16,Premium
60,Customer_60,Jayanagar,2022-06-21,Returning
63,Customer_63,Electronic City,2022-11-02,Returning
64,Customer_64,Kammanahalli,2022-02-15,Returning
65,Customer_65,BTM,2023-01-24,New
66,Customer_66,Whitefield,2023-08-24,Premium
67,Customer_67,Brigade Road,2022-12-16,New
68,Customer_68,JP Nagar,2022-09-15,Returning
69,Customer_69,Ejipura,2022-08-31,New
70,Customer_70,Basavanagudi,2023-12-13,Premium
71,Customer_71,Marathahalli,2023-08-22,New
