restaurant_id,restaurant_name,online_order,table_booking,rating,total_votes,location,restaurant_type,dishes_liked,cuisines,cost_for_two,service_type,city_category
1,Jalsa,Yes,Yes,4.1,775.0,Banashankari,Casual Dining,Pasta,North Indian,800.0,Buffet,Banashankari
2,Spice Elephant,Yes,No,4.1,787.0,Banashankari,Casual Dining,Momos,Chinese,800.0,Buffet,Banashankari
3,San Churro Cafe,Yes,No,3.8,918.0,Banashankari,Cafe,Churros,Cafe,800.0,Buffet,Banashankari
4,Addhuri Udupi Bhojana,No,No,3.7,88.0,Banashankari,Quick Bites,Masala Dosa,South Indian,300.0,Buffet,Banashankari
8,Onesta,Yes,Yes,4.6,2556.0,Banashankari,Casual Dining,Farmhouse Pizza,Pizza,600.0,Cafes,Banashankari
9,Penthouse Cafe,Yes,No,4.0,324.0,Banashankari,Cafe,Pizza,Cafe,700.0,Unknown,Banashankari
13,Cafe Shuffle,Yes,Yes,4.2,150.0,Banashankari,Cafe,Mocktails,Cafe,600.0,Cafes,Banashankari
15,CafEleven,No,No,4.0,424.0,Banashankari,Cafe,Sandwich,Cafe,450.0,Cafes,Banashankari
16,San Churro Cafe,Yes,No,3.8,918.0,Banashankari,Cafe,Churros,Cafe,800.0,Cafes,Banashankari
23,Woodee Pizza,Yes,No,3.7,180.0,Banashankari,Cafe,Pizza,Cafe,500.0,Cafes,Banashankari
26,Hide Out Cafe,No,No,3.7,31.0,Banashankari,Cafe,Unknown,Cafe,300.0,Cafes,Banashankari
29,Sea Green Cafe,No,No,3.3,4.0,Banashankari,Cafe,Unknown,Cafe,500.0,Cafes,Banashankari
30,Cuppa,No,No,3.3,23.0,Banashankari,Cafe,Unknown,Cafe,550.0,Cafes,Banashankari
32,Redberrys,Yes,No,4.0,219.0,Basavanagudi,Cafe,Pizza,Cafe,600.0,Cafes,Banashankari
36,Ovenstory Pizza,Yes,No,3.9,172.0,Banashankari,Delivery,Paneer Tikka,Pizza,750.0,Delivery,Banashankari
37,Faasos,Yes,No,4.2,415.0,Banashankari,Quick Bites,Rolls,North Indian,500.0,Unknown,Banashankari
39,Behrouz Biryani,Yes,No,3.9,230.0,Banashankari,Delivery,Raita,Biryani,650.0,Delivery,Banashankari
42,Empire Restaurant,Yes,No,4.4,4884.0,Jayanagar,Casual Dining,Chicken Tikka Masala,North Indian,750.0,Unknown,Jayanagar
44,Maruthi Davangere Benne Dosa,Yes,No,4.0,17.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
47,McDonalds,Yes,No,3.9,286.0,Banashankari,Quick Bites,Burgers,Burger,500.0,Delivery,Banashankari
49,Onesta,Yes,Yes,4.6,2556.0,Banashankari,Casual Dining,Farmhouse Pizza,Pizza,600.0,Unknown,Banashankari
53,Recipe,Yes,No,4.0,804.0,Kumaraswamy Layout,Casual Dining,Butter Chicken,North Indian,450.0,Delivery,Banashankari
55,Tasty Bytes,Yes,No,3.1,245.0,Kumaraswamy Layout,Quick Bites,Paratha,North Indian,300.0,Delivery,Banashankari
56,Petoo,No,No,3.7,21.0,Banashankari,Quick Bites,Unknown,North Indian,450.0,Delivery,Banashankari
57,Shree Cool Point,Yes,No,4.1,28.0,Vijay Nagar,Quick Bites,Unknown,Fast Food,150.0,Delivery,Banashankari
58,Corner House Ice Cream,No,No,4.3,345.0,Banashankari,Dessert Parlor,Hot Chocolate Fudge,Ice Cream,400.0,Delivery,Banashankari
60,Roving Feast,No,No,4.0,1047.0,Banashankari,Quick Bites,Pasta,Italian,450.0,Delivery,Banashankari
62,Banashankari Donne Biriyani,Yes,No,3.8,104.0,Banashankari,Quick Bites,Unknown,Biryani,300.0,Delivery,Banashankari
63,Wamama,Yes,Yes,4.2,354.0,Banashankari,Casual Dining,Sushi,Asian,800.0,Unknown,Banashankari
66,XO Belgian Waffle,Yes,No,3.7,17.0,Banashankari,Dessert Parlor,Unknown,Desserts,400.0,Delivery,Banashankari
67,Peppy Peppers,No,No,4.2,244.0,Banashankari,Casual Dining,Pasta,Italian,800.0,Unknown,Banashankari
73,Kabab Magic,Yes,No,4.1,1720.0,Basavanagudi,Quick Bites,Grape Juice,North Indian,400.0,Delivery,Banashankari
74,Namma Brahmins Idli,Yes,No,3.6,34.0,Jayanagar,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
75,Gustoes Beer House,No,No,4.1,868.0,Banashankari,Pub,Beer,Continental,1200.0,Delivery,Banashankari
76,Sugar Rush,No,No,3.8,39.0,Banashankari,Bakery,Unknown,Bakery,300.0,Delivery,Banashankari
77,Burger King,Yes,No,3.2,71.0,Basavanagudi,Quick Bites,Unknown,Burger,600.0,Delivery,Banashankari
81,LSD Cafe,No,No,2.9,84.0,Banashankari,Delivery,Unknown,Chinese,700.0,Unknown,Banashankari
83,Rolls On Wheels,No,No,3.6,299.0,Banashankari,Quick Bites,Rolls,Fast Food,300.0,Delivery,Banashankari
84,Om Sri Vinayaka Chats,No,No,0.0,0.0,Banashankari,Takeaway,Unknown,Street Food,500.0,Delivery,Banashankari
86,Devanna Dum Biriyani Centre,Yes,No,3.6,28.0,Banashankari,Quick Bites,Unknown,Biryani,300.0,Delivery,Banashankari
87,Kolbeh,No,No,3.7,22.0,Banashankari,Quick Bites,Unknown,Fast Food,500.0,Delivery,Banashankari
88,Upahar Sagar,No,No,3.8,39.0,Banashankari,Quick Bites,Masala Dosa,South Indian,350.0,Delivery,Banashankari
90,Frozen Bottle,Yes,No,4.2,146.0,Banashankari,Beverage Shop,Berryblast,Beverages,400.0,Delivery,Banashankari
93,Chill Out,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
97,Dessert Rose,No,No,3.5,7.0,Banashankari,Dessert Parlor,Unknown,Desserts,500.0,Delivery,Banashankari
100,Sunsadm,No,No,0.0,0.0,Banashankari,Takeaway,Unknown,South Indian,400.0,Delivery,Banashankari
102,Thancos Natural Ice Creams,No,No,3.2,9.0,Banashankari,Dessert Parlor,Unknown,Ice Cream,300.0,Delivery,Banashankari
107,Chatar Patar,No,No,3.7,65.0,Banashankari,Quick Bites,Panipuri,Fast Food,300.0,Delivery,Banashankari
108,Polar Bear,Yes,No,3.8,71.0,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,Ice Cream,400.0,Delivery,Banashankari
110,Mane Thindi,No,No,3.7,130.0,Banashankari,Quick Bites,Coffee,South Indian,200.0,Delivery,Banashankari
111,Kotian Karavali Restaurant,No,No,3.5,10.0,Banashankari,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
117,Naveen Kabab  Biriyani Mane,No,No,3.2,9.0,Banashankari,Quick Bites,Unknown,Biryani,300.0,Delivery,Banashankari
118,Katriguppe Donne Biryani,No,No,3.2,4.0,Banashankari,Quick Bites,Unknown,North Indian,300.0,Delivery,Banashankari
121,Just Bake,No,No,3.4,8.0,Banashankari,Bakery,Unknown,Bakery,400.0,Delivery,Banashankari
125,Wood Stove,No,No,0.0,0.0,Banashankari,Takeaway,Unknown,South Indian,150.0,Delivery,Banashankari
126,Kulfi  More,No,No,0.0,0.0,Banashankari,Dessert Parlor,Unknown,Ice Cream,150.0,Delivery,Banashankari
127,Kannadigas Karavali,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,Mangalorean,250.0,Delivery,Banashankari
